TEMP,Date/Time,Exact Time [ns]
21.956,2025-05-02 16:35:14.835144,4743588508745
21.958,2025-05-02 16:35:15.836043,4744589403837
21.96,2025-05-02 16:35:16.836668,4745590030558
21.962,2025-05-02 16:35:17.836978,4746590341817
21.964,2025-05-02 16:35:18.837517,4747590881483
21.968,2025-05-02 16:35:19.837986,4748591351131
21.971,2025-05-02 16:35:20.838426,4749591788945
21.974,2025-05-02 16:35:21.838881,4750592244315
21.978,2025-05-02 16:35:22.839348,4751592711888
21.982,2025-05-02 16:35:23.839830,4752593194462
21.987,2025-05-02 16:35:24.840303,4753593668035
21.994,2025-05-02 16:35:25.840789,4754594152979
22.003,2025-05-02 16:35:26.841632,4755594997052
22.012,2025-05-02 16:35:27.842807,4756596168552
22.022,2025-05-02 16:35:28.843489,4757596850477
22.033,2025-05-02 16:35:29.843940,4758597305569
22.044,2025-05-02 16:35:30.844926,4759598286772
22.057,2025-05-02 16:35:31.845386,4760598751086
22.069,2025-05-02 16:35:32.846397,4761599757697
22.082,2025-05-02 16:35:33.846844,4762600204474
22.095,2025-05-02 16:35:34.847186,4763600544177
22.109,2025-05-02 16:35:35.847671,4764601035528
22.122,2025-05-02 16:35:36.848158,4765601522565
22.135,2025-05-02 16:35:37.848694,4766602058064
22.149,2025-05-02 16:35:38.849260,4767602625953
22.162,2025-05-02 16:35:39.850458,4768603822396
22.174,2025-05-02 16:35:40.851082,4769604460211
22.186,2025-05-02 16:35:41.852023,4770605383543
22.196,2025-05-02 16:35:42.852350,4771605714876
22.205,2025-05-02 16:35:43.852868,4772606232616
22.213,2025-05-02 16:35:44.853621,4773606992764
22.22,2025-05-02 16:35:45.854258,4774607621837
22.226,2025-05-02 16:35:46.854756,4775608120911
22.231,2025-05-02 16:35:47.855570,4776608935281
22.236,2025-05-02 16:35:48.856076,4777609441021
22.241,2025-05-02 16:35:49.856605,4778609970057
22.247,2025-05-02 16:35:50.857424,4779610784482
22.254,2025-05-02 16:35:51.857910,4780611274834
22.26,2025-05-02 16:35:52.858735,4781612095241
22.268,2025-05-02 16:35:53.859231,4782612596592
22.276,2025-05-02 16:35:54.860534,4783613897628
22.285,2025-05-02 16:35:55.861256,4784614617294
22.294,2025-05-02 16:35:56.861679,4785615040423
22.303,2025-05-02 16:35:57.862365,4786615726608
22.312,2025-05-02 16:35:58.865873,4787619237792
22.322,2025-05-02 16:35:59.866338,4788619701996
22.331,2025-05-02 16:36:00.866825,4789620188958
22.339,2025-05-02 16:36:01.867313,4790620677809
22.348,2025-05-02 16:36:02.867777,4791621141235
22.356,2025-05-02 16:36:03.868416,4792621773160
22.363,2025-05-02 16:36:04.868854,4793622219011
22.368,2025-05-02 16:36:05.869327,4794622693196
22.372,2025-05-02 16:36:06.869801,4795623165954
22.374,2025-05-02 16:36:07.870386,4796623749898
22.374,2025-05-02 16:36:08.870954,4797624320249
22.372,2025-05-02 16:36:09.871939,4798625303897
22.369,2025-05-02 16:36:10.872446,4799625811341
22.364,2025-05-02 16:36:11.873336,4800626701433
22.358,2025-05-02 16:36:12.873843,4801627208266
22.353,2025-05-02 16:36:13.874464,4802627821617
22.349,2025-05-02 16:36:14.875447,4803628817468
22.343,2025-05-02 16:36:15.876607,4804629978134
22.34,2025-05-02 16:36:16.877714,4805631078893
22.337,2025-05-02 16:36:17.878206,4806631570763
22.334,2025-05-02 16:36:18.882700,4807636058595
22.332,2025-05-02 16:36:19.883134,4808636498336
22.33,2025-05-02 16:36:20.884049,4809637413076
22.328,2025-05-02 16:36:21.884958,4810638318149
22.324,2025-05-02 16:36:22.885476,4811638841945
22.321,2025-05-02 16:36:23.886284,4812639648889
22.317,2025-05-02 16:36:24.887182,4813640543777
22.312,2025-05-02 16:36:25.887709,4814641074776
22.307,2025-05-02 16:36:26.888606,4815641966646
22.301,2025-05-02 16:36:27.889139,4816642503757
22.295,2025-05-02 16:36:28.889644,4817643009052
22.289,2025-05-02 16:36:29.890539,4818643897089
22.281,2025-05-02 16:36:30.891074,4819644438736
22.273,2025-05-02 16:36:31.891990,4820645348495
22.264,2025-05-02 16:36:32.892817,4821646177994
22.256,2025-05-02 16:36:33.893352,4822646710883
22.247,2025-05-02 16:36:34.893817,4823647181234
22.238,2025-05-02 16:36:35.894665,4824648030363
22.229,2025-05-02 16:36:36.895535,4825648896122
22.22,2025-05-02 16:36:37.896041,4826649405510
22.212,2025-05-02 16:36:38.896881,4827650242102
22.204,2025-05-02 16:36:39.897475,4828650832972
22.196,2025-05-02 16:36:40.898301,4829651662008
22.188,2025-05-02 16:36:41.899027,4830652390174
22.181,2025-05-02 16:36:42.899724,4831653084803
22.172,2025-05-02 16:36:43.900108,4832653470655
22.165,2025-05-02 16:36:44.900797,4833654160469
22.158,2025-05-02 16:36:45.901172,4834654532727
22.151,2025-05-02 16:36:46.901539,4835654901005
22.143,2025-05-02 16:36:47.901869,4836655227226
22.135,2025-05-02 16:36:48.902276,4837655641040
22.126,2025-05-02 16:36:49.902812,4838656175966
22.118,2025-05-02 16:36:50.903591,4839656952373
22.109,2025-05-02 16:36:51.903874,4840657237928
22.1,2025-05-02 16:36:52.904448,4841657813501
22.09,2025-05-02 16:36:53.904929,4842658293649
22.08,2025-05-02 16:36:54.905454,4843658818518
22.07,2025-05-02 16:36:55.906716,4844660077833
22.061,2025-05-02 16:36:56.907045,4845660403017
22.053,2025-05-02 16:36:57.907475,4846660840017
22.045,2025-05-02 16:36:58.907989,4847661354034
22.038,2025-05-02 16:36:59.909166,4848662531367
22.031,2025-05-02 16:37:00.911092,4849664452996
22.024,2025-05-02 16:37:01.911839,4850665203255
22.019,2025-05-02 16:37:02.912318,4851665682347
22.013,2025-05-02 16:37:03.912794,4852666158828
22.009,2025-05-02 16:37:04.913306,4853666671123
22.004,2025-05-02 16:37:05.913778,4854667141753
22.0,2025-05-02 16:37:06.914294,4855667658233
21.996,2025-05-02 16:37:07.914782,4856668147177
21.992,2025-05-02 16:37:08.915585,4857668949529
21.988,2025-05-02 16:37:09.916349,4858669713361
21.984,2025-05-02 16:37:10.918095,4859671456120
21.981,2025-05-02 16:37:11.918895,4860672260564
21.978,2025-05-02 16:37:12.919461,4861672825230
21.975,2025-05-02 16:37:13.920000,4862673364433
21.972,2025-05-02 16:37:14.920941,4863674301766
21.971,2025-05-02 16:37:15.921578,4864674936747
21.97,2025-05-02 16:37:16.921982,4865675347153
21.968,2025-05-02 16:37:17.922471,4866675835690
21.966,2025-05-02 16:37:18.922984,4867676349319
21.964,2025-05-02 16:37:19.923838,4868677202133
21.961,2025-05-02 16:37:20.925163,4869678526466
21.959,2025-05-02 16:37:21.925872,4870679234206
21.956,2025-05-02 16:37:22.926505,4871679865650
21.954,2025-05-02 16:37:23.926943,4872680305797
21.951,2025-05-02 16:37:24.927660,4873681025204
21.949,2025-05-02 16:37:25.928135,4874681498704
21.947,2025-05-02 16:37:26.928667,4875682031814
21.945,2025-05-02 16:37:27.929171,4876682535258
21.944,2025-05-02 16:37:28.929608,4877682972202
21.942,2025-05-02 16:37:29.930084,4878683448664
21.941,2025-05-02 16:37:30.930552,4879683916238
21.94,2025-05-02 16:37:31.931837,4880685198848
21.939,2025-05-02 16:37:32.932228,4881685589070
21.938,2025-05-02 16:37:33.932583,4882685944551
21.937,2025-05-02 16:37:34.932930,4883686290032
21.936,2025-05-02 16:37:35.933297,4884686657198
21.936,2025-05-02 16:37:36.934290,4885687648197
21.936,2025-05-02 16:37:37.934710,4886688075474
21.935,2025-05-02 16:37:38.935195,4887688559381
21.936,2025-05-02 16:37:39.935705,4888689069380
21.938,2025-05-02 16:37:40.936434,4889689806121
21.938,2025-05-02 16:37:41.937435,4890690807953
21.94,2025-05-02 16:37:42.938080,4891691445212
21.942,2025-05-02 16:37:43.938561,4892691925378
21.945,2025-05-02 16:37:44.939692,4893693057007
21.948,2025-05-02 16:37:45.940218,4894693584284
21.95,2025-05-02 16:37:46.941400,4895694765210
21.953,2025-05-02 16:37:47.941884,4896695249413
21.956,2025-05-02 16:37:48.942761,4897696126431
21.959,2025-05-02 16:37:49.943678,4898697038671
21.961,2025-05-02 16:37:50.943982,4899697340078
